,value,date,ipc_type,base,base_log,dlog,year,month,quarter,sa_component,sa,log_sa,dlog_sa,forecast_dlog_sa,MoM_sa_final
0,101.26,1999-12-01,ИПЦ,1.0126,0.012521280553671691,,1999.0,12.0,4.0,-0.026207151606938133,1.0388071516069382,0.038073085271532074,,,
1,102.33,2000-01-01,ИПЦ,1.0361935799999997,0.035553979664244166,0.023032699110572475,2000.0,1.0,1.0,0.0014478458920879392,1.0347457341079118,0.03415572900753435,-0.003917356263997723,,100.99609030656677
2,101.04,2000-02-01,ИПЦ,1.0469699932319998,0.045900271718388536,0.01034629205414437,2000.0,2.0,1.0,0.009495588050242467,1.0374744051817573,0.0367893031140838,0.0026335741065494495,,101.00263704500912
3,100.64,2000-03-01,ИПЦ,1.0536706011886845,0.05227987868242747,0.006379606964038935,2000.0,3.0,1.0,0.033356701104213286,1.0203139000844712,0.02011032513319864,-0.01667897798088516,,100.98345934607005
4,100.89,2000-04-01,ИПЦ,1.0630482695392638,0.06114050711462403,0.008860628432196559,2000.0,4.0,2.0,0.03447518996369206,1.0285730795755716,0.02817248210832496,0.008062156975126317,,101.00809474367684
5,101.75,2000-05-01,ИПЦ,1.081651614256201,0.07848914544923706,0.01734863833461303,2000.0,5.0,2.0,0.02952719147522746,1.0521244227809734,0.05081137992735297,0.02263889781902801,,101.02289710247435
6,102.55,2000-06-01,ИПЦ,1.1092337304197342,0.1036694439795354,0.025180298530298337,2000.0,6.0,2.0,0.019212468889063493,1.0900212615306706,0.08619720204225385,0.035385822114900885,,101.03601935087633
7,101.79,2000-07-01,ИПЦ,1.1290890141942473,0.12141112545569245,0.017741681476157053,2000.0,7.0,3.0,0.01219474136871112,1.1168942728255362,0.11055186281001267,0.024354660767758815,,101.02465365790859
8,100.98,2000-08-01,ИПЦ,1.140154086533351,0.13116341689837077,0.00975229144267832,2000.0,8.0,3.0,-0.014944292617736329,1.1550983791510874,0.1441855171006113,0.03363365429059864,,101.03420566051332
9,101.32,2000-09-01,ИПЦ,1.1552041204755912,0.1442770560437538,0.013113639145383021,2000.0,9.0,3.0,-0.030613154674718767,1.18581727515031,0.170432220535755,0.02624670343514368,,101.02659418154651
10,102.11,2000-10-01,ИПЦ,1.179578927417626,0.16515753362310895,0.020880477579355156,2000.0,10.0,4.0,-0.03413280870473346,1.2137117361223595,0.19368321478958175,0.023250994253826762,,101.0235234058034
11,101.52,2000-11-01,ИПЦ,1.1975085271143737,0.1802431710411496,0.015085637418040643,2000.0,11.0,4.0,-0.033812319139111126,1.2313208462534848,0.20808745195314643,0.014404237163564676,,101.01450847809002
12,101.64,2000-12-01,ИПЦ,1.2171476669590495,0.19651014350502163,0.016266972463872043,2000.0,12.0,4.0,-0.026207151606938133,1.2433548185659877,0.2178132251862904,0.00972577323314397,,101.00977322226706
13,102.76,2001-01-01,ИПЦ,1.2507409425671194,0.2237361297586132,0.027225986253591572,2001.0,1.0,1.0,0.0014478458920879392,1.2492930966750315,0.2225778686859822,0.004764643499691801,,101.00477601246271
14,102.28,2001-02-01,ИПЦ,1.2792578360576496,0.2462800941935076,0.022543964434894398,2001.0,2.0,1.0,0.009495588050242467,1.2697622480074071,0.23882967665183427,0.016251807965852072,,101.01638458692108
15,101.86,2001-03-01,ИПЦ,1.3030520318083219,0.26470922966187477,0.018429135468367164,2001.0,3.0,1.0,0.033356701104213286,1.2696953307041086,0.23877697460721262,-5.2702044621655286e-05,,100.9999472993441
16,101.79,2001-04-01,ИПЦ,1.3263766631776908,0.28245091113803183,0.017741681476157067,2001.0,4.0,2.0,0.03447518996369206,1.2919014732139986,0.2561151433302433,0.017338168723030706,,101.01748934722598
17,101.78,2001-05-01,ИПЦ,1.3499861677822538,0.30009434631062715,0.017643435172595312,2001.0,5.0,2.0,0.02952719147522746,1.3204589763070262,0.27797938548490664,0.021864242154663316,,101.0221050162765
18,101.62,2001-06-01,ИПЦ,1.3718559437003264,0.31616452648812166,0.01607018017749451,2001.0,6.0,2.0,0.019212468889063493,1.3526434748112628,0.3020608073036097,0.02408142181870304,,101.02437372086655
19,100.45,2001-07-01,ИПЦ,1.3780292954469777,0.32065443176097363,0.0044899052728519795,2001.0,7.0,3.0,0.01219474136871112,1.3658345540782666,0.31176563674032204,0.009704829436712359,,101.00975207400371
20,100.01,2001-08-01,ИПЦ,1.3781670983765224,0.32075442676130694,9.999500033330833e-05,2001.0,8.0,3.0,-0.014944292617736329,1.3931113909942587,0.331539656420652,0.019774019680329935,,101.0199708206492
21,100.6,2001-09-01,ИПЦ,1.3864361009667816,0.32673649843885444,0.005982071677547496,2001.0,9.0,3.0,-0.030613154674718767,1.4170492556415004,0.34857672061358547,0.017037064192933493,,101.01718302269437
22,101.09,2001-10-01,ИПЦ,1.4015482544673197,0.33757752161672944,0.010841023177874998,2001.0,10.0,4.0,-0.03413280870473346,1.4356810631720531,0.3616393451028687,0.013062624489283248,,101.01314831326884
23,101.36,2001-11-01,ИПЦ,1.4206093107280753,0.3510858716415217,0.013508350024792282,2001.0,11.0,4.0,-0.033812319139111126,1.4544216298671864,0.37460831635138264,0.012968971248513927,,101.01305343308891
24,101.6,2001-12-01,ИПЦ,1.4433390596997244,0.3669592207978118,0.015873349156290073,2001.0,12.0,4.0,-0.026207151606938133,1.4695462113066626,0.3849536533416702,0.010345336990287557,,101.01039903500394
25,103.09,2002-01-01,ИПЦ,1.4879382366444458,0.39739142791801374,0.03043220712020195,2002.0,1.0,1.0,0.0014478458920879392,1.486490390752358,0.3964178990909289,0.011464245749258695,,101.0115302120582
26,101.16,2002-02-01,ИПЦ,1.5051983201895214,0.40892466373168673,0.011533235813672993,2002.0,2.0,1.0,0.009495588050242467,1.4957027321392788,0.4025961513440942,0.006178252253165317,,101.0061973770192
27,101.08,2002-03-01,ИПЦ,1.521454462047568,0.4196667602635888,0.010742096531902057,2002.0,3.0,1.0,0.033356701104213286,1.4880977609433548,0.3974986338114848,-0.005097517532609397,,100.99491545276176
28,101.16,2002-04-01,ИПЦ,1.53910333380732,0.43119999607726184,0.011533235813673048,2002.0,4.0,2.0,0.03447518996369206,1.5046281438436278,0.4085457871688498,0.011047153357365003,,101.01110839847631
29,101.69,2002-05-01,ИПЦ,1.5651141801486634,0.44795877989221644,0.016758783814954603,2002.0,5.0,2.0,0.02952719147522746,1.535586988673436,0.4289127109863344,0.02036692381748456,,101.02057574488187
30,100.53,2002-06-01,ИПЦ,1.5734092853034516,0.45324478432145393,0.00528600442923749,2002.0,6.0,2.0,0.019212468889063493,1.554196816414388,0.4409588954151431,0.012046184428808726,,101.01211903192605
31,100.72,2002-07-01,ИПЦ,1.5847378321576366,0.4604189880694544,0.007174203748000485,2002.0,7.0,3.0,0.01219474136871112,1.5725430907889255,0.4526941119444673,0.011735216529324188,,101.01180434432807
32,100.09,2002-08-01,ИПЦ,1.5861640962065786,0.4613185833122906,0.0008995952428361709,2002.0,8.0,3.0,-0.014944292617736329,1.601108388824315,0.47069613242524644,0.018002020480779146,,101.0181650335706
33,100.4,2002-09-01,ИПЦ,1.592508752591405,0.4653106045818281,0.003992021269537516,2002.0,9.0,3.0,-0.030613154674718767,1.6231219072661238,0.4843513980136528,0.013655265588406351,,101.01374892455468
34,101.07,2002-10-01,ИПЦ,1.609548596244133,0.4759537646803078,0.01064316009847971,2002.0,10.0,4.0,-0.03413280870473346,1.6436814049488664,0.49693848524359535,0.012587087229942562,,101.01266663803298
35,101.61,2002-11-01,ИПЦ,1.6354623286436636,0.49192553419000656,0.015971769509698752,2002.0,11.0,4.0,-0.033812319139111126,1.6692746477827747,0.5123891894295297,0.01545070418593436,,101.01557068344076
36,101.54,2002-12-01,ИПЦ,1.660648448504776,0.5072081577211636,0.015282623531157002,2002.0,12.0,4.0,-0.026207151606938133,1.6868556001117143,0.5228662042344652,0.010477014804935458,,101.01053209090085
37,102.4,2003-01-01,ИПЦ,1.7005040112688907,0.5309246843384796,0.023716526617316047,2003.0,1.0,1.0,0.0014478458920879392,1.6990561653768028,0.5300729000461626,0.007206695811697417,,101.00723272653823
38,101.63,2003-02-01,ИПЦ,1.7282222266525735,0.5470932655000632,0.016168581161583595,2003.0,2.0,1.0,0.009495588050242467,1.718726638602331,0.5415836902544546,0.011510790208292043,,101.01157729428041
39,101.05,2003-03-01,ИПЦ,1.7463685600324255,0.5575385233616018,0.010445257861538604,2003.0,3.0,1.0,0.033356701104213286,1.7130118589282122,0.5382531422183187,-0.003330548036135972,,100.99667499208672
40,101.02,2003-04-01,ИПЦ,1.764181519344756,0.5676868544134169,0.010148331051815118,2003.0,4.0,2.0,0.03447518996369206,1.729706329381064,0.5479516422973664,0.009698500079047712,,101.00974568294191
41,100.8,2003-05-01,ИПЦ,1.7782949714995142,0.5756550240625938,0.007968169649176904,2003.0,5.0,2.0,0.02952719147522746,1.7487677800242867,0.5589114142220858,0.01095977192471942,,101.01102005023596
42,100.8,2003-06-01,ИПЦ,1.7925213312715103,0.5836231937117706,0.007968169649176793,2003.0,6.0,2.0,0.019212468889063493,1.7733088623824467,0.5728472151818359,0.013935800959750111,,101.01403335688047
43,100.71,2003-07-01,ИПЦ,1.8052482327235377,0.5906981073837324,0.00707491367196178,2003.0,7.0,3.0,0.01219474136871112,1.7930534913548266,0.5839200276162624,0.011072812434426482,,101.01113434291749
44,99.59,2003-08-01,ИПЦ,1.7978467149693713,0.5865896793391893,-0.004108428044543144,2003.0,8.0,3.0,-0.014944292617736329,1.8127910075871077,0.5948676507691004,0.010947623152838037,,101.0110077676586
45,100.34,2003-09-01,ИПЦ,1.8039593938002674,0.5899839124072049,0.003394233068015673,2003.0,9.0,3.0,-0.030613154674718767,1.8345725484749862,0.6068115107605949,0.011943859991494499,,101.01201547271401
46,101.0,2003-10-01,ИПЦ,1.82199898773827,0.599934243260373,0.009950330853168099,2003.0,10.0,4.0,-0.03413280870473346,1.8561317964430035,0.6184946428573954,0.011683132096800497,,101.01175164644535
